symbol,return_3d,return_7d,return_30d,rel_3d,rel_7d,rel_30d,score,outperforming_btc
HYPEUSDT,0.06706369756602815,0.15693430656934315,0.13714128035320083,0.06451529813604662,0.08009117956269796,0.10984727466332855,0.09185405082768298,True
NEARUSDT,0.042813455657492394,0.12913907284768222,0.05084745762711873,0.040265056227510865,0.05229594584103703,0.02355345193724645,0.035518520966436505,True
ETHUSDT,-0.009919200035712561,0.07989093387866397,0.08076447026031364,-0.01246759946569409,0.0030478068720187768,0.053470464570441356,0.025156054453687494,True
TRXUSDT,0.012357414448669335,0.013642131979695549,0.09718406593406592,0.009809015018687806,-0.06320099502694965,0.06989006024419364,0.017946534617749487,True
CCUSDT,0.035295720904878536,0.08964429145152031,-0.009388446994393007,0.032747321474897007,0.012801164444875113,-0.03668245268426529,-0.007951412713690709,False
LTCUSDT,-0.010834236186348933,0.02931228861330326,-0.0003649635036495624,-0.013382635616330463,-0.047530838393341934,-0.027658969193521843,-0.030765263238029594,False
LINKUSDT,-0.03240391861341374,0.03799514955537586,-0.0013333333333334085,-0.03495231804339527,-0.03884797745126933,-0.02862733902320569,-0.032958526355662696,False
SHIBUSDT,-0.03701891715590344,-0.013366750208855471,0.030181437543614686,-0.03956731658588497,-0.09020987721550067,0.002887431853742406,-0.03353271055495599,False
SKYUSDT,-0.006127920337035575,0.04440568822108948,-0.01927437641723362,-0.008676319767017104,-0.03243743878555572,-0.0465683821071059,-0.03475068664262308,False
TONUSDT,0.03287890938251792,0.03787268331990323,-0.03520599250936329,0.03033050995253639,-0.03897044368674196,-0.062499998199235574,-0.036875030215133095,False
AVAXUSDT,-0.010607828577490097,0.04621424565339316,-0.023350785340314206,-0.013156228007471626,-0.030628881353252035,-0.05064479103018649,-0.03714230552256318,False
DOGEUSDT,-0.025168491996630182,0.01092060718575949,-0.0033376399655470346,-0.02771689142661171,-0.0659225198208857,-0.030631645655419315,-0.04063595705929771,False
SUIUSDT,-0.025104166666666705,0.0709463325323263,-0.043438266557645266,-0.027652566096648235,-0.0058967944743189005,-0.07073227224751755,-0.04266568768538409,False
SOLUSDT,-0.023141654978962145,0.03955223880597014,-0.03465003465003469,-0.025690054408943674,-0.037290888200675054,-0.06194404033990697,-0.04729729751194474,False
XRPUSDT,-0.026329150649162303,0.01820388349514568,-0.030478116423515833,-0.028877550079143832,-0.05863924351149952,-0.057772122113388114,-0.05225334412597268,False
BCHUSDT,-0.009865470852017832,-0.0031602708803610824,-0.02966381015161501,-0.012413870281999362,-0.08000339788700628,-0.05695781584148729,-0.0549627013432454,False
MNTUSDT,-0.009780675755779455,-0.01066034942256433,-0.032715691951360704,-0.012329075185760985,-0.08750347642920953,-0.060009697641232984,-0.05872170678653155,False
ADAUSDT,-0.041476407914763924,0.022321428571428603,-0.040015243902439046,-0.044024807344745454,-0.05452169843521659,-0.06730924959231133,-0.05881609579566973,False
ASTERUSDT,-0.021136063408190187,0.016925892040256185,-0.04605921899585186,-0.023684462838171716,-0.05991723496638901,-0.07335322468572414,-0.059388675400413114,False
XAUTUSDT,-0.009899956139434729,0.023424006908462802,-0.07012553942722632,-0.012448355569416258,-0.05341912009818239,-0.0974195451170986,-0.06722517970188727,False
BNBUSDT,-0.028216704288939076,0.024825709913280036,-0.07518796992481203,-0.030765103718920606,-0.05201741709336516,-0.1024819756146843,-0.07299923367913583,False
HBARUSDT,-0.03755306411233261,0.007865040465063311,-0.061558055614519214,-0.04010146354231414,-0.06897808654158188,-0.0888520613043915,-0.07313974932313314,False
XLMUSDT,-0.05813953488372081,-0.055248618784530246,-0.03389830508474567,-0.06068793431370234,-0.13209174579117544,-0.06119231077461795,-0.08236126598740207,False
DOTUSDT,-0.016742770167427756,0.041935483870967794,-0.15111695137976344,-0.019291169597409286,-0.0349076431356774,-0.17841095706963572,-0.10353600539500293,False
UNIUSDT,-0.04748858447488591,-0.012933753943217607,-0.19728065674704975,-0.05003698390486744,-0.0897768809498628,-0.22457466243692203,-0.14922779228439334,False
WLFIUSDT,-0.1876616915422885,-0.1725955204216073,-0.192482690405539,-0.19021009097227004,-0.2494386474282525,-0.21977669609541128,-0.2227619604706354,False
